trip_id,base_fare,surcharge,total_cost,billing_month
T000086,40,2.0,112.2,2026-06
T000087,40,3.6,117.4,2026-06
T000088,40,11.0,126.6,2026-06
T000089,80,5.5,246.5,2026-06
T000090,80,17.1,244.1,2026-06
T000091,80,2.6,245.0,2026-06
T000092,80,0.3,241.3,2026-06
T000093,80,14.7,251.5,2026-06
T000094,15,4.4,93.4,2026-06
T000095,15,16.3,105.8,2026-06
T000096,40,3.9,136.6,2026-06
T000097,40,4.0,139.4,2026-06
T000098,80,2.0,338.2,2026-06
T000099,80,13.7,320.5,2026-06
T000100,80,14.6,325.6,2026-06
T000101,80,13.7,337.3,2026-06
T000102,15,17.9,145.9,2026-06
T000103,15,8.4,137.9,2026-06
T000104,15,12.2,141.2,2026-06
T000105,15,15.0,131.0,2026-06
T000106,15,11.9,125.4,2026-06
T000107,15,7.7,113.7,2026-06
T000108,40,18.7,145.1,2026-06
T000109,40,10.9,131.9,2026-06
T000110,40,15.8,137.7,2026-06
T000111,40,9.6,127.9,2026-06
T000112,40,9.4,131.3,2026-06
T000113,40,15.7,133.1,2026-06
T000114,40,19.0,135.5,2026-06
T000115,40,6.5,122.1,2026-06
T000116,40,11.4,120.7,2026-06
T000117,40,15.6,130.3,2026-06
T000118,40,9.7,124.4,2026-06
T000119,80,0.8,239.0,2026-06
T000120,80,5.5,245.1,2026-06
T000121,80,18.2,255.0,2026-06
T000122,80,14.8,243.2,2026-06
T000123,80,4.0,249.2,2026-06
T000124,80,4.6,241.4,2026-06
T000125,80,23.4,267.2,2026-06
T000126,80,14.6,241.6,2026-06
T000127,80,29.1,267.3,2026-06
T000128,80,1.1,242.1,2026-06
T000129,80,9.6,238.0,2026-06
T000130,15,18.6,105.1,2026-06
T000131,15,18.9,110.9,2026-06
T000132,15,3.7,91.2,2026-06
T000133,40,1.2,133.0,2026-06
T000134,40,0.3,133.0,2026-06
T000135,40,2.2,129.5,2026-06
T000136,40,17.1,148.0,2026-06
T000137,40,19.5,145.9,2026-06
T000138,40,5.6,136.5,2026-06
T000139,80,13.3,343.9,2026-06
T000140,80,4.5,322.5,2026-06
T000141,80,8.7,339.3,2026-06
T000142,80,14.8,351.0,2026-06
T000143,80,8.7,323.9,2026-06
T000144,80,16.5,330.3,2026-06
T000145,80,6.0,321.2,2026-06
T000146,80,5.0,339.8,2026-06
T000147,80,17.3,336.7,2026-06
T000148,80,12.9,328.1,2026-06
T000149,80,0.2,319.6,2026-06
T000150,80,15.6,323.8,2026-06
T000151,15,18.1,146.6,2026-06
T000152,15,12.9,140.9,2026-06
T000153,15,33.5,151.0,2026-06
T000154,15,9.1,122.6,2026-06
T000155,40,8.7,128.8,2026-06
T000156,40,2.3,124.2,2026-06
T000157,40,17.4,141.1,2026-06
T000158,40,9.9,122.8,2026-06
T000159,40,8.3,120.3,2026-06
T000160,40,7.2,124.6,2026-06
T000161,40,19.3,134.9,2026-06
T000162,80,2.9,241.1,2026-06
T000163,80,7.8,244.6,2026-06
T000164,80,8.5,241.1,2026-06
T000165,80,10.7,248.9,2026-06
T000166,80,1.8,235.8,2026-06
T000167,80,18.6,254.0,2026-06
T000168,80,3.1,230.1,2026-06
T000169,15,15.2,106.7,2026-06
T000170,15,5.2,100.2,2026-06
T000171,40,9.2,138.3,2026-06
T000172,40,16.3,152.6,2026-06
T000173,40,4.4,139.8,2026-06
T000174,40,18.7,146.0,2026-06
T000175,80,2.6,310.8,2026-06
T000176,80,9.1,334.1,2026-06
T000177,80,15.8,324.0,2026-06
T000178,80,15.5,348.9,2026-06
T000179,80,15.7,350.5,2026-06
T000180,80,0.8,331.4,2026-06
T000181,80,2.8,326.4,2026-06
T000182,15,14.5,141.0,2026-06
T000183,15,5.0,118.5,2026-06
T000184,40,3.1,129.5,2026-06
T000185,40,27.1,152.6,2026-06
T000186,40,18.3,129.4,2026-06
T000187,40,0.8,111.0,2026-06
T000188,40,7.2,117.4,2026-06
T000189,80,7.4,247.0,2026-06
T000190,80,12.6,245.2,2026-06
T000191,80,7.6,245.8,2026-06
T000192,80,4.0,240.8,2026-06
T000193,80,14.7,245.9,2026-06
T000194,80,9.8,236.8,2026-06
T000195,15,18.8,106.8,2026-06
T000196,15,12.6,106.6,2026-06
T000197,40,5.8,135.8,2026-06
T000198,40,5.5,135.5,2026-06
T000199,40,16.3,153.5,2026-06
T000200,80,15.9,345.1,2026-06
T000201,80,10.0,316.8,2026-06
T000202,80,6.5,341.3,2026-06
T000203,80,11.5,323.9,2026-06
T000204,15,11.5,141.5,2026-06
T000205,15,12.8,133.8,2026-06
T000206,15,0.8,124.8,2026-06
T000207,15,18.4,126.9,2026-06
T000208,15,17.8,135.3,2026-06
T000209,15,17.0,132.5,2026-06
T000210,40,14.6,132.9,2026-06
T000211,40,1.0,122.0,2026-06
T000212,40,11.8,136.4,2026-06
T000213,40,11.0,130.2,2026-06
T000214,40,10.6,132.5,2026-06
T000215,40,19.4,135.9,2026-06
T000216,40,1.7,118.2,2026-06
T000217,40,17.6,127.8,2026-06
T000218,40,12.5,127.2,2026-06
T000219,40,5.6,123.0,2026-06
T000220,80,5.4,250.6,2026-06
T000221,80,1.1,235.1,2026-06
T000222,80,5.4,232.4,2026-06
T000223,80,2.6,236.6,2026-06
T000224,80,12.5,240.9,2026-06
T000225,80,17.1,251.1,2026-06
T000226,80,10.9,254.7,2026-06
T000227,80,18.8,264.0,2026-06
T000228,80,17.5,248.7,2026-06
T000229,80,16.4,253.2,2026-06
T000230,80,2.9,248.1,2026-06
T000231,15,8.7,101.7,2026-06
T000232,15,15.6,111.1,2026-06
T000233,15,10.1,104.1,2026-06
T000234,40,4.0,134.0,2026-06
T000235,40,7.4,135.6,2026-06
T000236,40,6.4,140.9,2026-06
T000237,40,12.9,139.3,2026-06
T000238,40,16.5,144.7,2026-06
T000239,40,2.4,135.1,2026-06
T000240,80,4.1,317.9,2026-06
T000241,80,6.6,317.6,2026-06
T000242,80,13.6,320.4,2026-06
T000243,80,16.6,337.4,2026-06
T000244,80,19.5,348.7,2026-06
T000245,80,6.6,323.2,2026-06
T000246,80,19.4,334.6,2026-06
T000247,80,28.2,347.6,2026-06
T000248,80,18.4,337.8,2026-06
T000249,80,16.1,349.5,2026-06
T000250,80,18.7,333.9,2026-06
T000251,80,11.3,334.9,2026-06
T000252,15,16.8,147.8,2026-06
T000253,15,17.9,146.4,2026-06
T000254,15,12.7,119.7,2026-06
T000255,15,1.4,111.4,2026-06
T000256,40,7.6,131.3,2026-06
T000257,40,11.4,136.9,2026-06
T000258,40,17.2,143.6,2026-06
T000259,40,14.4,126.4,2026-06
T000260,40,17.0,133.5,2026-06
T000261,40,9.9,121.0,2026-06
T000262,40,2.3,115.2,2026-06
T000263,80,13.1,258.3,2026-06
T000264,80,2.4,235.0,2026-06
T000265,80,0.7,229.1,2026-06
T000266,80,6.7,249.1,2026-06
T000267,80,14.5,255.5,2026-06
T000268,80,1.9,247.1,2026-06
T000269,80,14.6,258.4,2026-06
T000270,15,14.1,108.1,2026-06
T000271,15,19.1,110.6,2026-06
T000272,40,16.8,154.0,2026-06
T000273,40,17.2,152.6,2026-06
T000274,40,13.1,141.3,2026-06
T000275,40,8.9,143.4,2026-06
T000276,80,2.7,334.7,2026-06
T000277,80,7.0,318.0,2026-06
T000278,80,4.1,330.5,2026-06
T000279,80,13.4,346.8,2026-06
T000280,80,6.5,332.9,2026-06
T000281,80,16.7,351.5,2026-06
T000282,80,20.0,343.6,2026-06
T000283,80,8.0,334.4,2026-06
T000284,15,3.5,130.0,2026-06
T000285,15,5.6,129.1,2026-06
T000286,15,18.0,131.5,2026-06
T000287,40,4.1,123.3,2026-06
T000288,40,17.5,141.2,2026-06
T000289,40,7.3,121.1,2026-06
T000290,40,5.9,117.9,2026-06
T000291,40,21.5,129.9,2026-06
T000292,80,9.2,247.4,2026-06
T000293,80,13.2,247.2,2026-06
T000294,80,12.5,250.7,2026-06
T000295,80,3.6,241.8,2026-06
T000296,80,17.7,246.1,2026-06
T000297,80,13.7,253.3,2026-06
T000298,15,0.6,87.1,2026-06
T000299,15,9.7,98.2,2026-06
T000300,40,3.1,132.2,2026-06
T000301,40,0.2,132.9,2026-06
T000302,40,3.7,138.2,2026-06
T000303,80,16.1,328.5,2026-06
T000304,80,6.2,329.8,2026-06
T000305,80,13.7,330.3,2026-06
T000306,80,7.9,320.3,2026-06
T000307,15,30.0,153.0,2026-06
T000308,15,15.0,148.5,2026-06
T000309,15,18.6,141.1,2026-06
T000310,15,12.0,122.0,2026-06
T000311,15,5.6,119.6,2026-06
T000312,15,8.1,125.1,2026-06
T000313,40,4.5,125.5,2026-06
T000314,40,17.5,142.1,2026-06
T000315,40,19.3,144.8,2026-06
T000316,40,9.8,135.3,2026-06
T000317,40,15.8,136.8,2026-06
T000318,40,2.9,118.5,2026-06
T000319,40,16.0,128.0,2026-06
T000320,40,14.4,129.1,2026-06
T000321,40,0.6,117.1,2026-06
T000322,40,7.2,121.9,2026-06
T000323,40,6.9,116.2,2026-06
T000324,80,12.5,245.1,2026-06
T000325,80,18.9,245.9,2026-06
T000326,80,10.2,245.6,2026-06
T000327,80,18.0,252.0,2026-06
T000328,80,17.6,257.2,2026-06
T000329,80,9.8,252.2,2026-06
T000330,80,13.6,244.8,2026-06
T000331,80,17.2,252.6,2026-06
T000332,80,0.3,227.3,2026-06
T000333,80,16.9,252.3,2026-06
T000334,15,0.5,96.0,2026-06
T000335,15,11.7,106.7,2026-06
T000336,15,13.4,104.4,2026-06
T000337,40,14.2,149.6,2026-06
T000338,40,5.0,133.2,2026-06
T000339,40,13.6,143.6,2026-06
T000340,40,18.9,153.4,2026-06
T000341,40,7.8,134.2,2026-06
T000342,40,9.5,138.6,2026-06
T000343,80,12.5,323.5,2026-06
T000344,80,6.3,324.3,2026-06
T000345,80,1.3,310.9,2026-06
T000346,80,3.1,321.1,2026-06
T000347,80,3.1,316.9,2026-06
T000348,80,26.7,339.1,2026-06
T000349,80,4.0,315.0,2026-06
T000350,80,7.7,317.3,2026-06
T000351,80,16.6,323.4,2026-06
T000352,80,18.8,345.2,2026-06
T000353,80,19.4,345.8,2026-06
T000354,80,0.6,328.4,2026-06
T000355,15,12.8,136.8,2026-06
T000356,15,2.2,127.7,2026-06
T000357,15,10.0,127.5,2026-06
T000358,15,11.9,125.4,2026-06
T000359,40,3.9,123.1,2026-06
T000360,40,3.8,129.3,2026-06
T000361,40,8.1,133.6,2026-06
T000362,40,6.7,116.9,2026-06
T000363,40,14.5,124.7,2026-06
T000364,40,9.9,121.0,2026-06
T000365,40,4.1,118.8,2026-06
T000366,80,15.8,249.8,2026-06
T000367,80,16.0,251.4,2026-06
T000368,80,4.4,234.2,2026-06
T000369,80,18.6,247.0,2026-06
T000370,80,18.4,253.8,2026-06
T000371,80,6.5,248.9,2026-06
T000372,80,14.2,249.6,2026-06
T000373,80,10.4,250.0,2026-06
T000374,15,5.9,92.9,2026-06
T000375,15,11.3,104.8,2026-06
T000376,40,10.8,137.2,2026-06
T000377,40,18.6,155.8,2026-06
T000378,40,19.7,147.0,2026-06
T000379,40,12.3,138.7,2026-06
T000380,80,19.8,340.6,2026-06
T000381,80,9.7,316.5,2026-06
T000382,80,0.8,330.0,2026-06
T000383,80,4.6,329.6,2026-06
T000384,80,16.4,328.8,2026-06
T000385,80,15.8,345.0,2026-06
T000386,80,8.6,315.4,2026-06
T000387,80,5.8,335.0,2026-06
T000388,15,19.5,149.0,2026-06
T000389,15,12.8,143.3,2026-06
T000390,15,6.2,112.2,2026-06
T000391,40,5.8,132.2,2026-06
T000392,40,2.7,127.3,2026-06
T000393,40,19.0,129.2,2026-06
T000394,40,0.4,110.6,2026-06
T000395,40,17.2,128.3,2026-06
T000396,80,11.1,252.1,2026-06
T000397,80,4.1,249.3,2026-06
T000398,80,8.3,236.7,2026-06
T000399,80,10.7,257.3,2026-06
T000400,80,18.5,255.3,2026-06
T000401,15,0.6,94.6,2026-06
T000402,15,15.3,103.3,2026-06
T000403,40,5.1,140.5,2026-06
T000404,40,13.9,140.3,2026-06
T000405,40,18.9,148.9,2026-06
T000406,80,28.8,337.0,2026-06
T000407,80,4.4,322.4,2026-06
T000408,80,4.5,321.1,2026-06
T000409,80,11.1,329.1,2026-06
T000410,15,12.5,133.5,2026-06
T000411,15,16.1,145.6,2026-06
T000412,15,6.6,129.6,2026-06
T000413,15,19.4,128.9,2026-06
T000414,15,1.8,113.8,2026-06
T000415,15,8.4,116.4,2026-06
T000416,40,10.5,135.1,2026-06
T000417,40,0.7,120.8,2026-06
T000418,40,10.2,133.9,2026-06
T000419,40,10.6,132.5,2026-06
T000420,40,12.9,130.3,2026-06
T000421,40,17.0,141.6,2026-06
T000422,40,7.3,122.9,2026-06
T000423,40,10.6,122.6,2026-06
T000424,40,10.1,125.7,2026-06
T000425,40,2.6,112.8,2026-06
T000426,40,21.8,130.2,2026-06
T000427,80,0.6,243.0,2026-06
T000428,80,4.7,241.5,2026-06
T000429,80,14.9,250.3,2026-06
T000430,80,0.1,238.3,2026-06
T000431,80,11.6,244.2,2026-06
T000432,80,15.2,242.2,2026-06
T000433,80,10.7,241.9,2026-06
T000434,80,3.3,245.7,2026-06
T000435,80,10.2,254.0,2026-06
T000436,80,13.7,242.1,2026-06
T000437,80,6.9,235.3,2026-06
T000438,15,18.1,108.1,2026-06
T000439,15,1.9,88.4,2026-06
T000440,15,11.2,99.2,2026-06
T000441,40,11.9,143.7,2026-06
T000442,40,2.8,131.9,2026-06
T000443,40,11.9,138.3,2026-06
T000444,40,4.6,137.3,2026-06
T000445,40,8.0,141.6,2026-06
T000446,40,5.5,138.2,2026-06
T000447,80,11.8,328.4,2026-06
T000448,80,9.5,319.1,2026-06
T000449,80,12.0,328.6,2026-06
T000450,80,11.1,340.3,2026-06
T000451,80,19.1,338.5,2026-06
T000452,80,7.9,316.1,2026-06
T000453,80,6.2,332.6,2026-06
T000454,80,0.1,336.3,2026-06
T000455,80,30.7,350.1,2026-06
T000456,80,9.6,338.8,2026-06
T000457,80,2.6,313.6,2026-06
T000458,15,0.7,129.2,2026-06
T000459,15,15.7,141.7,2026-06
T000460,15,32.8,140.8,2026-06
T000461,15,4.0,109.5,2026-06
T000462,40,1.6,123.5,2026-06
T000463,40,0.1,122.9,2026-06
T000464,40,1.9,127.4,2026-06
T000465,40,30.4,147.8,2026-06
T000466,40,8.8,125.3,2026-06
T000467,40,12.9,123.1,2026-06
T000468,40,4.3,118.1,2026-06
T000469,80,2.1,243.1,2026-06
T000470,80,16.1,245.9,2026-06
T000471,80,13.3,257.1,2026-06
T000472,80,14.4,245.6,2026-06
T000473,80,14.9,248.9,2026-06
T000474,80,17.6,262.8,2026-06
T000475,80,10.9,240.7,2026-06
T000476,80,16.5,261.7,2026-06
T000477,15,0.8,87.3,2026-06
T000478,15,8.5,100.5,2026-06
T000479,40,0.0,130.9,2026-06
T000480,40,12.0,142.0,2026-06
T000481,40,17.7,147.7,2026-06
T000482,40,19.8,152.5,2026-06
T000483,40,1.6,128.9,2026-06
T000484,80,1.7,333.7,2026-06
T000485,80,1.2,319.2,2026-06
T000486,80,17.3,331.1,2026-06
T000487,80,14.4,350.6,2026-06
T000488,80,5.6,318.0,2026-06
T000489,80,7.9,331.5,2026-06
T000490,80,11.7,338.1,2026-06
T000491,80,0.4,328.2,2026-06
T000492,15,3.1,127.6,2026-06
T000493,15,0.5,133.0,2026-06
T000494,15,12.1,119.6,2026-06
T000495,40,16.4,137.4,2026-06
T000496,40,11.2,130.4,2026-06
T000497,40,9.9,126.4,2026-06
T000498,40,4.6,121.1,2026-06
T000499,40,6.2,120.9,2026-06
T000500,80,11.3,256.5,2026-06
T000501,80,0.2,235.6,2026-06
T000502,80,7.0,245.2,2026-06
T000503,80,15.1,253.3,2026-06
T000504,80,10.0,248.2,2026-06
T000505,15,17.3,111.8,2026-06
T000506,15,0.4,92.9,2026-06
T000507,40,18.4,153.8,2026-06
T000508,40,16.3,146.3,2026-06
T000509,80,2.0,332.6,2026-06
T000510,80,10.7,332.9,2026-06
T000511,80,18.3,346.1,2026-06
T000512,15,3.2,134.2,2026-06
T000513,15,5.2,129.7,2026-06
T000514,15,6.2,126.7,2026-06
T000515,15,6.7,113.2,2026-06
T000516,15,15.1,121.1,2026-06
T000517,15,7.1,120.1,2026-06
T000518,40,19.2,137.5,2026-06
T000519,40,11.3,131.4,2026-06
T000520,40,5.4,122.8,2026-06
T000521,40,17.4,140.2,2026-06
T000522,40,8.7,127.9,2026-06
T000523,40,2.9,128.4,2026-06
T000524,40,6.5,117.6,2026-06
T000525,40,19.7,137.1,2026-06
T000526,40,19.6,131.6,2026-06
T000527,40,14.5,129.2,2026-06
T000528,40,14.6,128.4,2026-06
T000529,40,4.1,119.7,2026-06
T000530,80,4.9,238.9,2026-06
T000531,80,4.9,240.3,2026-06
T000532,80,18.2,260.6,2026-06
T000533,80,5.1,239.1,2026-06
T000534,80,8.2,253.4,2026-06
T000535,80,10.6,246.0,2026-06
T000536,80,3.5,230.5,2026-06
T000537,80,17.9,254.7,2026-06
T000538,80,14.4,245.6,2026-06
T000539,80,15.2,249.2,2026-06
T000540,80,15.8,248.4,2026-06
T000541,15,16.3,104.3,2026-06
T000542,15,1.6,90.6,2026-06
T000543,15,8.6,96.6,2026-06
T000544,40,11.1,144.7,2026-06
T000545,40,8.6,144.0,2026-06
T000546,40,10.6,137.9,2026-06
T000547,40,11.2,148.4,2026-06
T000548,40,1.7,127.2,2026-06
T000549,40,8.7,143.2,2026-06
T000550,80,8.0,314.8,2026-06
T000551,80,5.8,329.4,2026-06
T000552,80,3.6,339.8,2026-06
T000553,80,2.8,316.6,2026-06
T000554,80,4.2,339.0,2026-06
T000555,80,17.7,346.9,2026-06
T000556,80,0.2,318.2,2026-06
T000557,80,12.0,342.6,2026-06
T000558,80,5.0,341.2,2026-06
T000559,80,34.4,355.2,2026-06
T000560,15,17.1,140.6,2026-06
T000561,15,2.4,121.9,2026-06
T000562,15,17.8,132.8,2026-06
T000563,15,13.8,124.8,2026-06
T000564,40,12.1,134.0,2026-06
T000565,40,18.0,137.2,2026-06
T000566,40,0.8,127.2,2026-06
T000567,40,17.4,129.4,2026-06
T000568,40,3.8,115.8,2026-06
T000569,40,16.2,131.8,2026-06
T000570,40,8.9,122.7,2026-06
T000571,80,11.6,240.0,2026-06
T000572,80,19.4,247.8,2026-06
T000573,80,4.0,246.4,2026-06
T000574,80,6.7,250.5,2026-06
T000575,80,5.3,246.3,2026-06
T000576,80,2.1,229.1,2026-06
T000577,80,4.9,247.3,2026-06
T000578,80,8.6,246.8,2026-06
T000579,15,15.7,110.7,2026-06
T000580,15,5.5,92.0,2026-06
T000581,40,18.1,149.9,2026-06
T000582,40,1.3,138.5,2026-06
T000583,40,21.7,152.6,2026-06
T000584,40,5.6,137.4,2026-06
T000585,80,13.9,326.3,2026-06
T000586,80,1.3,326.3,2026-06
T000587,80,13.2,343.8,2026-06
T000588,80,13.6,340.0,2026-06
T000589,80,15.5,350.3,2026-06
T000590,80,18.9,329.9,2026-06
T000591,80,12.9,325.3,2026-06
T000592,80,4.8,336.8,2026-06
T000593,15,7.1,127.1,2026-06
T000594,15,6.2,131.2,2026-06
T000595,15,6.0,116.5,2026-06
T000596,40,0.6,126.1,2026-06
T000597,40,17.6,140.4,2026-06
T000598,40,5.7,122.2,2026-06
T000599,40,17.1,131.8,2026-06
T000600,40,16.2,131.8,2026-06
T000601,80,17.3,255.5,2026-06
T000602,80,14.4,241.4,2026-06
T000603,80,1.6,245.4,2026-06
T000604,80,0.6,240.2,2026-06
T000605,80,15.8,255.4,2026-06
T000606,80,15.9,251.3,2026-06
T000607,15,15.3,108.3,2026-06
T000608,15,11.2,97.7,2026-06
T000609,40,14.5,142.7,2026-06
T000610,40,19.8,153.4,2026-06
T000611,40,11.1,147.4,2026-06
T000612,80,20.8,354.2,2026-06
T000613,80,14.2,339.2,2026-06
T000614,80,13.2,328.4,2026-06
T000615,15,16.8,146.8,2026-06
T000616,15,19.6,152.6,2026-06
T000617,15,17.0,144.5,2026-06
T000618,15,13.9,119.9,2026-06
T000619,15,7.1,118.1,2026-06
T000620,15,9.2,119.7,2026-06
T000621,40,4.1,124.2,2026-06
T000622,40,11.0,132.9,2026-06
T000623,40,12.9,135.7,2026-06
T000624,40,18.1,137.3,2026-06
T000625,40,4.7,126.6,2026-06
T000626,40,14.1,126.1,2026-06
T000627,40,11.4,127.0,2026-06
T000628,40,4.6,122.0,2026-06
T000629,40,15.0,132.4,2026-06
T000630,40,2.7,120.1,2026-06
T000631,40,2.4,118.0,2026-06
T000632,80,13.0,248.4,2026-06
T000633,80,1.3,229.7,2026-06
T000634,80,16.8,257.8,2026-06
T000635,80,3.7,230.7,2026-06
T000636,80,3.1,235.7,2026-06
T000637,80,17.1,245.5,2026-06
T000638,80,4.2,241.0,2026-06
T000639,80,2.5,235.1,2026-06
T000640,80,12.7,253.7,2026-06
T000641,80,8.1,254.7,2026-06
T000642,80,6.0,240.0,2026-06
T000643,15,12.8,100.8,2026-06
T000644,15,2.1,89.6,2026-06
T000645,15,13.1,102.1,2026-06
T000646,40,3.3,132.4,2026-06
T000647,40,19.0,150.8,2026-06
T000648,40,7.2,141.7,2026-06
T000649,40,8.2,143.6,2026-06
T000650,40,20.9,153.6,2026-06
T000651,40,3.3,139.6,2026-06
T000652,80,17.9,335.9,2026-06
T000653,80,12.3,330.3,2026-06
T000654,80,5.0,316.0,2026-06
T000655,80,5.6,320.8,2026-06
T000656,80,4.4,316.8,2026-06
T000657,80,5.9,315.5,2026-06
T000658,80,7.9,339.9,2026-06
T000659,80,1.0,327.4,2026-06
T000660,80,14.3,330.9,2026-06
T000661,80,16.1,332.7,2026-06
T000662,80,2.4,333.0,2026-06
T000663,15,1.7,128.2,2026-06
T000664,15,4.2,128.7,2026-06
T000665,15,3.7,120.2,2026-06
T000666,15,1.1,108.1,2026-06
T000667,40,1.5,127.9,2026-06
T000668,40,4.8,122.2,2026-06
T000669,40,9.0,134.5,2026-06
T000670,40,0.1,116.6,2026-06
T000671,40,8.5,125.9,2026-06
T000672,40,2.6,111.9,2026-06
T000673,40,14.2,131.6,2026-06
T000674,80,9.4,240.6,2026-06
T000675,80,5.0,233.4,2026-06
T000676,80,15.6,249.6,2026-06
T000677,80,1.0,235.0,2026-06
T000678,80,19.8,260.8,2026-06
T000679,80,17.3,252.7,2026-06
T000680,80,12.5,253.5,2026-06
T000681,15,14.6,101.1,2026-06
T000682,15,18.3,106.3,2026-06
T000683,40,12.9,138.4,2026-06
T000684,40,10.0,144.5,2026-06
T000685,40,19.2,155.5,2026-06
T000686,40,17.5,151.1,2026-06
T000687,80,7.1,323.7,2026-06
T000688,80,9.8,322.2,2026-06
T000689,80,16.1,350.9,2026-06
T000690,80,6.5,330.1,2026-06
T000691,80,9.1,318.7,2026-06
T000692,80,30.1,339.7,2026-06
T000693,80,8.7,343.5,2026-06
T000694,80,3.5,313.1,2026-06
T000695,15,12.1,145.1,2026-06
T000696,15,14.8,146.3,2026-06
T000697,15,8.9,122.4,2026-06
T000698,40,17.6,142.2,2026-06
T000699,40,15.1,133.4,2026-06
T000700,40,16.8,129.7,2026-06
T000701,40,3.6,117.4,2026-06
T000702,40,10.7,119.1,2026-06
T000703,80,4.4,242.6,2026-06
T000704,80,15.3,242.3,2026-06
T000705,80,9.4,240.6,2026-06
T000706,80,8.4,241.0,2026-06
T000707,80,16.2,244.6,2026-06
T000708,80,2.1,245.9,2026-06
T000709,15,9.4,104.9,2026-06
T000710,15,17.1,108.6,2026-06
T000711,40,3.6,136.3,2026-06
T000712,40,15.1,146.9,2026-06
T000713,80,11.2,340.4,2026-06
T000714,80,8.4,341.8,2026-06
T000715,80,18.7,339.5,2026-06
T000716,80,14.0,323.6,2026-06
T000717,15,12.2,145.7,2026-06
T000718,15,8.9,130.4,2026-06
T000719,15,15.7,149.2,2026-06
T000720,15,10.5,120.5,2026-06
T000721,15,0.1,115.6,2026-06
T000722,15,10.8,122.8,2026-06
T000723,40,12.0,139.3,2026-06
T000724,40,14.0,139.5,2026-06
T000725,40,11.5,131.6,2026-06
T000726,40,18.3,142.0,2026-06
T000727,40,8.0,135.3,2026-06
T000728,40,10.1,127.5,2026-06
T000729,40,13.2,127.9,2026-06
T000730,40,12.2,125.1,2026-06
T000731,40,9.8,124.5,2026-06
T000732,40,6.4,118.4,2026-06
T000733,40,6.5,122.1,2026-06
T000734,80,0.4,242.8,2026-06
