trip_id,route_id,driver_id,vendor_id,shift_id,scheduled_pickup_time,actual_pickup_time,scheduled_drop_time,actual_drop_time,distance_km,cost,mode,status
T000037,R022,D0116,V5,S1,2026-06-01T08:15:00,2026-06-01T08:16:54,2026-06-01T09:00:00,2026-06-01T09:00:00,16.8,317.9,cab,completed
T000038,R022,D0110,V1,S1,2026-06-01T08:15:00,2026-06-01T08:19:12,2026-06-01T09:00:00,2026-06-01T09:01:15.314953,16.8,329.0,cab,completed
T000039,R022,D0038,V5,S1,2026-06-01T08:15:00,2026-06-01T08:16:30,2026-06-01T09:00:00,2026-06-01T09:00:00,17.2,327.4,cab,completed
T000040,R022,D0043,V1,S1,2026-06-01T08:15:00,2026-06-01T08:16:12,2026-06-01T09:00:00,2026-06-01T09:00:00,16.2,314.5,cab,completed
T000041,R022,D0108,V5,S1,2026-06-01T08:15:00,2026-06-01T08:15:36,2026-06-01T09:00:00,2026-06-01T09:00:00,17.1,350.4,cab,completed
T000042,R022,D0088,V5,S1,2026-06-01T08:15:00,2026-06-01T08:15:06,2026-06-01T09:00:00,2026-06-01T09:00:00,17.6,338.5,cab,completed
T000043,R022,D0047,V3,S1,2026-06-01T08:15:00,,2026-06-01T09:00:00,2026-06-01T09:00:01.225224,17.4,333.4,cab,completed
T000044,R022,D0100,V3,S1,2026-06-01T08:15:00,2026-06-01T08:16:12,2026-06-01T09:00:00,2026-06-01T09:00:00,17.0,325.4,cab,completed
T000045,R022,D0071,V5,S1,2026-06-01T08:15:00,2026-06-01T08:16:12,2026-06-01T09:00:00,2026-06-01T09:00:00,17.4,340.4,cab,completed
T000046,R022,D0101,V5,S1,2026-06-01T08:15:00,2026-06-01T08:28:06,2026-06-01T09:00:00,2026-06-01T09:09:42.739534,16.4,324.7,cab,completed
T000047,R022,D0016,V5,S1,2026-06-01T08:15:00,2026-06-01T08:20:00,2026-06-01T09:00:00,2026-06-01T09:00:49.767564,18.2,353.1,cab,completed
T000048,R022,D0031,V3,S1,2026-06-01T08:15:00,2026-06-01T08:21:54,2026-06-01T09:00:00,2026-06-01T09:04:49.667280,17.4,338.8,cab,completed
T000049,R003,D0106,V2,S2,2026-06-01T10:15:00,2026-06-01T10:17:36,2026-06-01T11:00:00,2026-06-01T11:00:00,21.0,123.9,shuttle,completed
T000050,R003,D0119,V4,S2,2026-06-01T10:15:00,2026-06-01T10:17:06,2026-06-01T11:00:00,2026-06-01T11:00:03.147841,23.1,160.9,shuttle,completed
T000051,R006,D0113,V2,S2,2026-06-01T10:15:00,2026-06-01T10:18:18,2026-06-01T11:00:00,2026-06-01T11:00:00.715595,18.8,118.4,shuttle,completed
T000052,R006,D0034,V4,S2,2026-06-01T10:15:00,2026-06-01T10:23:06,2026-06-01T11:00:00,2026-06-01T11:06:31.084963,20.0,124.8,shuttle,completed
T000053,R008,D0070,V2,S2,2026-06-01T10:15:00,2026-06-01T10:15:24,2026-06-01T11:00:00,2026-06-01T11:00:00,9.1,125.0,nodal,completed
T000054,R008,D0043,V1,S2,2026-06-01T10:15:00,2026-06-01T10:17:00,2026-06-01T11:00:00,2026-06-01T11:00:00,8.6,127.3,nodal,completed
T000055,R008,D0070,V2,S2,2026-06-01T10:15:00,2026-06-01T10:23:36,2026-06-01T11:00:00,2026-06-01T11:08:20.975941,9.6,143.4,nodal,completed
T000056,R011,D0114,V2,S2,2026-06-01T10:15:00,2026-06-01T10:24:12,2026-06-01T11:00:00,2026-06-01T11:06:43.249521,8.4,122.0,nodal,completed
T000057,R011,D0008,V1,S2,2026-06-01T10:15:00,2026-06-01T10:25:24,2026-06-01T11:00:00,2026-06-01T11:06:26.465014,8.3,132.5,nodal,completed
T000058,R011,D0040,V1,S2,2026-06-01T10:15:00,2026-06-01T10:19:06,2026-06-01T11:00:00,2026-06-01T11:02:19.458306,8.4,126.6,nodal,completed
T000059,R011,D0117,V1,S2,2026-06-01T10:15:00,2026-06-01T10:23:18,2026-06-01T11:00:00,2026-06-01T11:06:13.658896,8.5,128.3,nodal,completed
T000060,R013,D0005,V1,S2,2026-06-01T10:15:00,2026-06-01T10:19:12,2026-06-01T11:00:00,2026-06-01T11:00:50.923746,11.5,244.2,cab,completed
T000061,R013,D0099,V5,S2,2026-06-01T10:15:00,2026-06-01T10:23:42,2026-06-01T11:00:00,2026-06-01T11:04:22.547554,11.3,243.0,cab,completed
T000062,R013,D0006,V5,S2,2026-06-01T10:15:00,2026-06-01T10:17:06,2026-06-01T11:00:00,2026-06-01T11:02:02.110429,11.3,253.8,cab,completed
T000063,R013,D0067,V3,S2,2026-06-01T10:15:00,2026-06-01T10:19:18,2026-06-01T11:00:00,2026-06-01T11:03:24.772230,10.7,233.3,cab,completed
T000064,R013,D0103,V5,S2,2026-06-01T10:15:00,2026-06-01T10:23:06,2026-06-01T11:00:00,2026-06-01T11:03:53.058006,11.6,253.4,cab,completed
T000065,R013,D0062,V3,S2,2026-06-01T10:15:00,2026-06-01T10:16:54,2026-06-01T11:00:00,2026-06-01T11:00:25.927693,11.3,247.7,cab,completed
T000066,R013,D0110,V1,S2,2026-06-01T10:15:00,2026-06-01T10:19:18,2026-06-01T11:00:00,2026-06-01T11:00:00,11.6,244.7,cab,completed
T000067,R018,D0026,V4,S2,2026-06-01T10:15:00,2026-06-01T10:33:54,2026-06-01T11:00:00,2026-06-01T11:16:13.549689,15.5,107.6,shuttle,completed
T000068,R018,D0099,V5,S2,2026-06-01T10:15:00,2026-06-01T10:25:54,2026-06-01T11:00:00,2026-06-01T11:06:09.906183,15.7,111.6,shuttle,completed
T000069,R020,D0068,V1,S2,2026-06-01T10:15:00,2026-06-01T10:27:00,2026-06-01T11:00:00,2026-06-01T11:10:41.815104,10.2,144.9,nodal,completed
T000070,R020,D0112,V1,S2,2026-06-01T10:15:00,2026-06-01T10:18:18,2026-06-01T11:00:00,2026-06-01T11:00:00,9.6,141.6,nodal,completed
T000071,R020,D0045,V1,S2,2026-06-01T10:15:00,2026-06-01T10:15:30,2026-06-01T11:00:00,2026-06-01T11:00:00,10.3,149.4,nodal,completed
T000072,R020,D0110,V1,S2,2026-06-01T10:15:00,2026-06-01T10:37:36,2026-06-01T11:00:00,2026-06-01T11:21:26.896100,10.4,143.2,nodal,completed
T000073,R022,D0089,V3,S2,2026-06-01T10:15:00,2026-06-01T10:15:54,2026-06-01T11:00:00,2026-06-01T11:00:00,16.6,326.6,cab,completed
T000074,R022,D0085,V3,S2,2026-06-01T10:15:00,2026-06-01T10:17:12,2026-06-01T11:00:00,2026-06-01T11:00:22.306772,17.7,342.9,cab,completed
T000075,R022,D0036,V3,S2,2026-06-01T10:15:00,2026-06-01T10:16:12,2026-06-01T11:00:00,2026-06-01T11:00:00,17.8,338.1,cab,completed
T000076,R022,D0008,V1,S2,2026-06-01T10:15:00,2026-06-01T10:16:00,2026-06-01T11:00:00,2026-06-01T11:00:00,17.5,326.8,cab,completed
T000077,R022,D0086,V1,S2,2026-06-01T10:15:00,2026-06-01T10:16:06,2026-06-01T11:00:00,2026-06-01T11:00:00,18.0,350.6,cab,completed
T000078,R022,D0033,V1,S2,2026-06-01T10:15:00,2026-06-01T10:17:24,2026-06-01T11:00:00,2026-06-01T11:00:00,17.0,329.7,cab,completed
T000079,R022,D0047,V3,S2,2026-06-01T10:15:00,2026-06-01T10:22:42,2026-06-01T11:00:00,2026-06-01T11:04:40.090978,18.2,346.3,cab,completed
T000080,R022,D0042,V5,S2,2026-06-01T10:15:00,2026-06-01T10:16:24,2026-06-01T11:00:00,2026-06-01T11:00:00,17.4,339.0,cab,completed
T000081,R003,D0048,V5,S3,2026-06-01T21:15:00,,2026-06-01T22:00:00,,23.5,149.9,shuttle,no_show
T000082,R003,D0092,V4,S3,2026-06-01T21:15:00,2026-06-01T21:16:12,2026-06-01T22:00:00,2026-06-01T22:00:08.840255,22.0,142.1,shuttle,completed
T000083,R006,D0084,V4,S3,2026-06-01T21:15:00,2026-06-01T21:26:48,2026-06-01T22:00:00,2026-06-01T22:09:59.908026,20.1,122.4,shuttle,completed
T000084,R008,D0009,V1,S3,2026-06-01T21:15:00,2026-06-01T21:23:36,2026-06-01T22:00:00,2026-06-01T22:07:17.264321,9.3,141.4,nodal,completed
T000085,R008,D0080,V1,S3,2026-06-01T21:15:00,2026-06-01T21:18:36,2026-06-01T22:00:00,2026-06-01T22:00:36.724740,9.3,135.0,nodal,completed
T000086,R011,D0010,V1,S3,2026-06-01T21:15:00,2026-06-01T21:19:00,2026-06-01T22:00:00,2026-06-01T22:03:45.110378,7.8,112.2,nodal,completed
T000087,R011,D0005,V1,S3,2026-06-01T21:15:00,2026-06-01T21:50:24,2026-06-01T22:00:00,2026-06-01T22:34:04.048927,8.2,117.4,nodal,completed
T000088,R011,D0054,V2,S3,2026-06-01T21:15:00,2026-06-01T21:33:06,2026-06-01T22:00:00,2026-06-01T22:17:18.416569,8.4,126.6,nodal,completed
T000089,R013,D0080,V1,S3,2026-06-01T21:15:00,2026-06-01T21:15:30,2026-06-01T22:00:00,2026-06-01T22:00:00,11.5,246.5,cab,completed
T000090,R013,D0098,V5,S3,2026-06-01T21:15:00,2026-06-01T21:18:42,2026-06-01T22:00:00,2026-06-01T22:01:48.286929,10.5,244.1,cab,completed
T000091,R013,D0009,V1,S3,2026-06-01T21:15:00,2026-06-01T21:15:54,2026-06-01T22:00:00,2026-06-01T22:00:00,11.6,245.0,cab,completed
T000092,R013,D0042,V5,S3,2026-06-01T21:15:00,2026-06-01T21:15:00,2026-06-01T22:00:00,2026-06-01T22:00:00,11.5,241.3,cab,completed
T000093,R013,D0105,V3,S3,2026-06-01T21:15:00,2026-06-01T21:15:42,2026-06-01T22:00:00,2026-06-01T22:00:24.509993,11.2,251.5,cab,completed
T000094,R018,D0016,V5,S3,2026-06-01T21:15:00,2026-06-01T21:26:06,2026-06-01T22:00:00,2026-06-01T22:06:07.976397,14.8,93.4,shuttle,completed
T000095,R018,D0106,V2,S3,2026-06-01T21:15:00,2026-06-01T21:17:54,2026-06-01T22:00:00,2026-06-01T22:02:37.223187,14.9,105.8,shuttle,completed
T000096,R020,D0056,V1,S3,2026-06-01T21:15:00,2026-06-01T21:18:06,2026-06-01T22:00:00,2026-06-01T22:00:18.211147,10.3,136.6,nodal,completed
T000097,R020,D0087,V2,S3,2026-06-01T21:15:00,2026-06-01T21:17:06,2026-06-01T22:00:00,2026-06-01T22:01:22.254457,10.6,139.4,nodal,completed
T000098,R022,D0069,V5,S3,2026-06-01T21:15:00,2026-06-01T21:16:54,2026-06-01T22:00:00,2026-06-01T22:00:44.649414,18.3,338.2,cab,completed
T000099,R022,D0060,V3,S3,2026-06-01T21:15:00,2026-06-01T21:15:24,2026-06-01T22:00:00,2026-06-01T22:00:00,16.2,320.5,cab,completed
T000100,R022,D0010,V1,S3,2026-06-01T21:15:00,2026-06-01T21:17:36,2026-06-01T22:00:00,2026-06-01T22:00:53.464154,16.5,325.6,cab,completed
T000101,R022,D0083,V3,S3,2026-06-01T21:15:00,2026-06-01T21:18:18,2026-06-01T22:00:00,2026-06-01T22:02:38.468360,17.4,337.3,cab,completed
T000102,R003,D0097,V2,S1,2026-06-02T08:15:00,2026-06-02T08:15:00,2026-06-02T09:00:00,2026-06-02T09:00:00,22.6,145.9,shuttle,completed
T000103,R003,D0020,V2,S1,2026-06-02T08:15:00,2026-06-02T08:26:24,2026-06-02T09:00:00,2026-06-02T09:07:03.354439,22.9,137.9,shuttle,completed
T000104,R003,D0012,V2,S1,2026-06-02T08:15:00,2026-06-02T08:17:48,2026-06-02T09:00:00,2026-06-02T09:00:42.912923,22.8,141.2,shuttle,completed
T000105,R006,D0103,V5,S1,2026-06-02T08:15:00,2026-06-02T08:17:54,2026-06-02T09:00:00,2026-06-02T09:00:57.130118,20.2,131.0,shuttle,completed
T000106,R006,D0014,V5,S1,2026-06-02T08:15:00,2026-06-02T08:27:24,2026-06-02T09:00:00,2026-06-02T09:12:22.767039,19.7,125.4,shuttle,completed
T000107,R006,D0017,V2,S1,2026-06-02T08:15:00,2026-06-02T08:23:42,2026-06-02T09:00:00,2026-06-02T09:08:33.302194,18.2,113.7,shuttle,completed
T000108,R008,D0081,V2,S1,2026-06-02T08:15:00,2026-06-02T08:19:36,2026-06-02T09:00:00,2026-06-02T09:00:37.696002,9.6,145.1,nodal,completed
T000109,R008,D0090,V2,S1,2026-06-02T08:15:00,2026-06-02T08:17:36,2026-06-02T09:00:00,2026-06-02T09:01:00.561807,9.0,131.9,nodal,completed
T000110,R008,D0010,V1,S1,2026-06-02T08:15:00,2026-06-02T08:24:06,2026-06-02T09:00:00,2026-06-02T09:05:53.327130,9.1,137.7,nodal,completed
T000111,R008,D0005,V1,S1,2026-06-02T08:15:00,2026-06-02T08:22:12,2026-06-02T09:00:00,2026-06-02T09:04:21.555127,8.7,127.9,nodal,completed
T000112,R008,D0078,V2,S1,2026-06-02T08:15:00,2026-06-02T08:16:30,2026-06-02T09:00:00,2026-06-02T09:00:00,9.1,131.3,nodal,completed
T000113,R008,D0035,V1,S1,2026-06-02T08:15:00,2026-06-02T08:17:48,2026-06-02T09:00:00,2026-06-02T09:00:22.571944,8.6,133.1,nodal,completed
T000114,R011,D0005,V1,S1,2026-06-02T08:15:00,2026-06-02T08:16:06,2026-06-02T09:00:00,2026-06-02T09:00:00,8.5,135.5,nodal,completed
T000115,R011,D0106,V2,S1,2026-06-02T08:15:00,2026-06-02T08:29:06,2026-06-02T09:00:00,2026-06-02T09:11:57.904980,8.4,122.1,nodal,completed
T000116,R011,D0053,V1,S1,2026-06-02T08:15:00,2026-06-02T08:34:00,2026-06-02T09:00:00,2026-06-02T09:15:25.379905,7.7,120.7,nodal,completed
T000117,R011,D0068,V1,S1,2026-06-02T08:15:00,2026-06-02T08:19:00,2026-06-02T09:00:00,2026-06-02T09:02:52.245947,8.3,130.3,nodal,completed
T000118,R011,D0096,V2,S1,2026-06-02T08:15:00,2026-06-02T08:19:00,2026-06-02T09:00:00,2026-06-02T09:02:02.968582,8.3,124.4,nodal,completed
T000119,R013,D0077,V5,S1,2026-06-02T08:15:00,2026-06-02T08:19:24,2026-06-02T09:00:00,2026-06-02T09:02:20.390603,11.3,239.0,cab,completed
T000120,R013,D0098,V5,S1,2026-06-02T08:15:00,2026-06-02T08:15:48,2026-06-02T09:00:00,2026-06-02T09:00:00,11.4,245.1,cab,completed
T000121,R013,D0027,V3,S1,2026-06-02T08:15:00,2026-06-02T08:18:24,2026-06-02T09:00:00,2026-06-02T09:02:52.673670,11.2,255.0,cab,completed
T000122,R013,D0047,V3,S1,2026-06-02T08:15:00,2026-06-02T08:20:18,2026-06-02T09:00:00,2026-06-02T09:01:24.307416,10.6,243.2,cab,completed
T000123,R013,D0053,V1,S1,2026-06-02T08:15:00,2026-06-02T08:25:00,2026-06-02T09:00:00,2026-06-02T09:06:24.053635,11.8,249.2,cab,completed
T000124,R013,D0103,V5,S1,2026-06-02T08:15:00,2026-06-02T08:19:42,2026-06-02T09:00:00,2026-06-02T09:00:10.326570,11.2,241.4,cab,completed
T000125,R013,D0080,V1,S1,2026-06-02T08:15:00,2026-06-02T08:31:06,2026-06-02T09:00:00,2026-06-02T09:11:22.124294,11.7,267.2,cab,completed
T000126,R013,D0076,V3,S1,2026-06-02T08:15:00,2026-06-02T08:17:48,2026-06-02T09:00:00,2026-06-02T09:01:35.846552,10.5,241.6,cab,completed
T000127,R013,D0069,V5,S1,2026-06-02T08:15:00,2026-06-02T08:24:06,2026-06-02T09:00:00,2026-06-02T09:08:10.516279,11.3,267.3,cab,completed
T000128,R013,D0110,V1,S1,2026-06-02T08:15:00,2026-06-02T08:21:48,2026-06-02T09:00:00,2026-06-02T09:06:23.712288,11.5,242.1,cab,completed
T000129,R013,D0010,V1,S1,2026-06-02T08:15:00,2026-06-02T08:15:42,2026-06-02T09:00:00,2026-06-02T09:00:00,10.6,238.0,cab,completed
T000130,R018,D0018,V5,S1,2026-06-02T08:15:00,2026-06-02T08:35:30,2026-06-02T09:00:00,2026-06-02T09:17:49.907113,14.3,105.1,shuttle,completed
T000131,R018,D0069,V5,S1,2026-06-02T08:15:00,2026-06-02T08:15:18,2026-06-02T09:00:00,2026-06-02T09:00:00,15.4,110.9,shuttle,completed
T000132,R018,D0077,V5,S1,2026-06-02T08:15:00,2026-06-02T08:15:00,2026-06-02T09:00:00,2026-06-02T09:00:00,14.5,91.2,shuttle,completed
T000133,R020,D0024,V1,S1,2026-06-02T08:15:00,2026-06-02T08:25:30,2026-06-02T09:00:00,2026-06-02T09:09:57.654785,10.2,133.0,nodal,completed
T000134,R020,D0058,V1,S1,2026-06-02T08:15:00,2026-06-02T08:17:06,2026-06-02T09:00:00,2026-06-02T09:00:00,10.3,133.0,nodal,completed
T000135,R020,D0052,V1,S1,2026-06-02T08:15:00,,2026-06-02T09:00:00,,9.7,129.5,nodal,no_show
T000136,R020,D0068,V1,S1,2026-06-02T08:15:00,,2026-06-02T09:00:00,,10.1,148.0,nodal,no_show
T000137,R020,D0112,V1,S1,2026-06-02T08:15:00,,2026-06-02T09:00:00,,9.6,145.9,nodal,no_show
T000138,R020,D0094,V2,S1,2026-06-02T08:15:00,2026-06-02T08:16:00,2026-06-02T09:00:00,2026-06-02T09:00:00,10.1,136.5,nodal,completed
T000139,R022,D0116,V5,S1,2026-06-02T08:15:00,2026-06-02T08:21:36,2026-06-02T09:00:00,2026-06-02T09:05:34.227505,17.9,343.9,cab,completed
T000140,R022,D0049,V3,S1,2026-06-02T08:15:00,2026-06-02T08:16:30,2026-06-02T09:00:00,,17.0,322.5,cab,cancelled
T000141,R022,D0028,V3,S1,2026-06-02T08:15:00,2026-06-02T08:23:36,2026-06-02T09:00:00,2026-06-02T09:05:20.538956,17.9,339.3,cab,completed
T000142,R022,D0018,V5,S1,2026-06-02T08:15:00,2026-06-02T08:17:18,2026-06-02T09:00:00,2026-06-02T09:00:00,18.3,351.0,cab,completed
T000143,R022,D0032,V1,S1,2026-06-02T08:15:00,2026-06-02T08:16:42,2026-06-02T09:00:00,2026-06-02T09:00:56.858204,16.8,323.9,cab,completed
T000144,R022,D0047,V3,S1,2026-06-02T08:15:00,2026-06-02T08:15:54,2026-06-02T09:00:00,2026-06-02T09:00:19.932427,16.7,330.3,cab,completed
T000145,R022,D0023,V3,S1,2026-06-02T08:15:00,2026-06-02T08:17:00,2026-06-02T09:00:00,2026-06-02T09:01:43.401818,16.8,321.2,cab,completed
T000146,R022,D0116,V5,S1,2026-06-02T08:15:00,2026-06-02T08:25:42,2026-06-02T09:00:00,2026-06-02T09:06:33.305525,18.2,339.8,cab,completed
T000147,R022,D0015,V1,S1,2026-06-02T08:15:00,2026-06-02T08:19:30,2026-06-02T09:00:00,2026-06-02T09:03:25.767409,17.1,336.7,cab,completed
T000148,R022,D0043,V1,S1,2026-06-02T08:15:00,2026-06-02T08:15:30,2026-06-02T09:00:00,2026-06-02T09:00:00,16.8,328.1,cab,completed
T000149,R022,D0014,V5,S1,2026-06-02T08:15:00,2026-06-02T08:18:00,2026-06-02T09:00:00,2026-06-02T09:00:19.526792,17.1,319.6,cab,completed
T000150,R022,D0071,V5,S1,2026-06-02T08:15:00,2026-06-02T08:28:24,2026-06-02T09:00:00,2026-06-02T09:09:27.204780,16.3,323.8,cab,completed
T000151,R003,D0001,V2,S2,2026-06-02T10:15:00,2026-06-02T10:19:54,2026-06-02T11:00:00,2026-06-02T11:00:17.066294,22.7,146.6,shuttle,completed
T000152,R003,D0087,V2,S2,2026-06-02T10:15:00,2026-06-02T10:28:54,2026-06-02T11:00:00,2026-06-02T11:11:38.706993,22.6,140.9,shuttle,completed
T000153,R006,D0041,V4,S2,2026-06-02T10:15:00,2026-06-02T10:18:36,2026-06-02T11:00:00,2026-06-02T11:00:04.211141,20.5,151.0,shuttle,completed
T000154,R006,D0001,V2,S2,2026-06-02T10:15:00,2026-06-02T10:16:42,2026-06-02T11:00:00,2026-06-02T11:01:17.681029,19.7,122.6,shuttle,completed
T000155,R008,D0073,V2,S2,2026-06-02T10:15:00,2026-06-02T10:16:48,2026-06-02T11:00:00,2026-06-02T11:00:00,8.9,128.8,nodal,completed
T000156,R008,D0057,V2,S2,2026-06-02T10:15:00,2026-06-02T10:18:12,2026-06-02T11:00:00,2026-06-02T11:01:55.541939,9.1,124.2,nodal,completed
T000157,R008,D0024,V1,S2,2026-06-02T10:15:00,2026-06-02T10:16:48,2026-06-02T11:00:00,2026-06-02T11:00:52.473783,9.3,141.1,nodal,completed
T000158,R011,D0033,V1,S2,2026-06-02T10:15:00,2026-06-02T10:17:18,2026-06-02T11:00:00,2026-06-02T11:00:00,8.1,122.8,nodal,completed
T000159,R011,D0017,V2,S2,2026-06-02T10:15:00,2026-06-02T10:20:54,2026-06-02T11:00:00,2026-06-02T11:01:29.047982,8.0,120.3,nodal,completed
T000160,R011,D0051,V2,S2,2026-06-02T10:15:00,2026-06-02T10:19:24,2026-06-02T11:00:00,2026-06-02T11:03:13.584328,8.6,124.6,nodal,completed
T000161,R011,D0111,V1,S2,2026-06-02T10:15:00,2026-06-02T10:15:36,2026-06-02T11:00:00,2026-06-02T11:00:20.873387,8.4,134.9,nodal,completed
T000162,R013,D0023,V3,S2,2026-06-02T10:15:00,2026-06-02T10:19:36,2026-06-02T11:00:00,2026-06-02T11:00:27.898933,11.3,241.1,cab,completed
