trip_id,delay_minutes,delay_reason_code
T000371,6.3,traffic
T000372,10.0,driver_late
T000373,23.5,unknown
T000374,0.3,
T000375,1.7,
T000376,1.4,
T000377,1.7,
T000378,1.8,
T000379,2.3,vehicle_issue
T000380,0.6,
T000381,3.7,traffic
T000382,1.2,
T000383,5.1,driver_late
T000384,10.0,driver_late
T000385,1.9,
T000386,7.6,driver_late
T000387,5.2,driver_late
T000388,14.7,route_change
T000389,7.5,route_change
T000390,2.4,unknown
T000391,0.7,
T000392,7.5,traffic
T000393,4.3,traffic
T000394,21.1,traffic
T000395,4.6,unknown
T000396,19.1,traffic
T000397,9.4,unknown
T000398,9.2,unknown
T000399,3.1,traffic
T000400,3.8,traffic
T000401,3.3,vehicle_issue
T000402,8.3,traffic
T000403,3.1,traffic
T000404,1.5,
T000405,2.5,driver_late
T000406,5.1,route_change
T000407,9.6,traffic
T000408,2.1,traffic
T000409,0.3,
T000410,0.7,
T000411,0.8,
T000412,9.0,traffic
T000413,0.9,
T000414,7.7,unknown
T000415,1.0,
T000416,5.4,traffic
T000417,5.1,traffic
T000418,6.6,driver_late
T000419,4.0,traffic
T000420,2.2,traffic
T000421,1.4,
T000422,4.8,route_change
T000423,0.1,
T000424,4.1,unknown
T000425,5.3,driver_late
T000426,0.3,
T000427,4.5,unknown
T000428,0.9,
T000429,0.1,
T000430,1.4,
T000431,0.4,
T000432,5.7,route_change
T000433,10.7,traffic
T000434,0.1,
T000435,21.0,traffic
T000436,19.3,traffic
T000437,8.4,traffic
T000438,4.5,traffic
T000439,18.4,route_change
T000440,2.8,unknown
T000441,8.7,driver_late
T000442,8.2,driver_late
T000443,5.7,route_change
T000444,0.1,
T000445,3.2,traffic
T000446,0.6,
T000447,8.9,route_change
T000448,4.6,driver_late
T000449,3.7,vehicle_issue
T000450,1.1,
T000451,14.6,driver_late
T000452,2.2,traffic
T000453,2.7,driver_late
T000454,1.2,
T000455,3.6,unknown
T000456,8.4,traffic
T000457,2.7,vehicle_issue
T000458,0.1,
T000459,2.3,traffic
T000460,4.1,traffic
T000461,5.9,traffic
T000462,3.1,driver_late
T000463,7.3,unknown
T000464,4.4,route_change
T000465,17.8,vehicle_issue
T000466,0.9,
T000467,1.0,
T000468,1.9,
T000469,3.1,traffic
T000470,0.1,
T000471,30.2,route_change
T000472,0.1,
T000473,30.1,traffic
T000474,3.2,vehicle_issue
T000475,15.7,traffic
T000476,10.5,driver_late
T000477,3.8,vehicle_issue
T000478,2.6,traffic
T000479,6.1,traffic
T000480,4.6,vehicle_issue
T000481,1.3,
T000482,9.9,traffic
T000483,3.8,driver_late
T000484,0.7,
T000485,16.0,traffic
T000486,5.2,unknown
T000487,6.6,driver_late
T000488,9.0,driver_late
T000489,4.7,driver_late
T000490,2.5,vehicle_issue
T000491,2.5,driver_late
T000492,0.9,
T000493,14.7,vehicle_issue
T000494,1.0,
T000495,12.8,traffic
T000496,3.5,unknown
T000497,3.7,driver_late
T000498,2.6,traffic
T000499,1.9,
T000500,1.4,
T000501,4.5,route_change
T000502,15.4,traffic
T000503,7.8,driver_late
T000504,18.2,traffic
T000505,3.4,driver_late
T000506,7.9,driver_late
T000507,13.1,traffic
T000508,13.7,driver_late
T000509,4.6,driver_late
T000510,2.2,vehicle_issue
T000511,0.3,
T000512,0.3,
T000513,5.8,vehicle_issue
T000514,4.2,traffic
T000515,4.7,unknown
T000516,9.2,traffic
T000517,9.4,route_change
T000518,3.4,traffic
T000519,0.8,
T000520,2.5,route_change
T000521,0.2,
T000522,0.6,
T000523,7.7,traffic
T000524,6.3,traffic
T000525,9.0,vehicle_issue
T000526,4.1,traffic
T000527,6.0,unknown
T000528,0.0,
T000529,3.5,traffic
T000530,0.8,
T000531,0.5,
T000532,3.6,vehicle_issue
T000533,2.0,
T000534,2.5,driver_late
T000535,13.5,driver_late
T000536,5.2,traffic
T000537,5.5,driver_late
T000538,0.3,
T000539,1.6,
T000540,29.6,driver_late
T000541,9.2,traffic
T000542,2.8,traffic
T000543,0.1,
T000544,4.0,driver_late
T000545,6.3,route_change
T000546,5.4,traffic
T000547,1.1,
T000548,2.9,driver_late
T000549,4.5,traffic
T000550,6.0,driver_late
T000551,9.3,traffic
T000552,2.9,traffic
T000553,3.0,traffic
T000554,6.3,traffic
T000555,5.3,traffic
T000556,13.9,traffic
T000557,7.8,driver_late
T000558,9.0,driver_late
T000559,19.1,traffic
T000560,4.9,traffic
T000561,6.3,traffic
T000562,8.4,traffic
T000563,3.9,traffic
T000564,19.0,driver_late
T000565,12.3,route_change
T000566,13.2,unknown
T000567,2.4,vehicle_issue
T000568,2.1,vehicle_issue
T000569,4.5,traffic
T000570,3.1,driver_late
T000571,0.3,
T000572,1.6,
T000573,14.8,route_change
T000574,5.4,traffic
T000575,2.8,driver_late
T000576,0.7,
T000577,5.0,driver_late
T000578,0.7,
T000579,16.9,traffic
T000580,3.0,traffic
T000581,0.4,
T000582,3.0,traffic
T000583,2.5,route_change
T000584,4.6,route_change
T000585,14.2,traffic
T000586,1.6,
T000587,1.8,
T000588,6.2,traffic
T000589,6.8,vehicle_issue
T000590,5.0,traffic
T000591,29.0,driver_late
T000592,0.5,
T000593,0.7,
T000594,10.0,vehicle_issue
T000595,0.3,
T000596,0.8,
T000597,1.2,
T000598,14.4,driver_late
T000599,10.2,traffic
T000600,0.7,
T000601,1.0,
T000602,2.6,vehicle_issue
T000603,2.5,vehicle_issue
T000604,8.4,driver_late
T000605,8.6,vehicle_issue
T000606,7.1,unknown
T000607,12.1,driver_late
T000608,16.8,driver_late
T000609,8.7,unknown
T000610,2.3,traffic
T000611,3.5,route_change
T000612,1.6,
T000613,6.1,driver_late
T000614,3.3,driver_late
T000615,0.3,
T000616,4.9,driver_late
T000617,5.5,driver_late
T000618,0.3,
T000619,1.0,
T000620,5.2,driver_late
T000621,18.0,driver_late
T000622,5.4,traffic
T000623,3.8,traffic
T000624,4.6,driver_late
T000625,6.3,driver_late
T000626,1.0,
T000627,7.1,vehicle_issue
T000628,4.7,vehicle_issue
T000629,10.7,traffic
T000630,3.8,vehicle_issue
T000631,3.0,unknown
T000632,6.4,unknown
T000633,9.9,traffic
T000634,1.3,
T000635,9.8,unknown
T000636,1.7,
T000637,12.7,traffic
T000638,2.4,route_change
T000639,1.1,
T000640,1.4,
T000641,1.3,
T000642,3.2,traffic
T000643,3.1,traffic
T000644,0.8,
T000645,8.0,unknown
T000646,2.1,traffic
T000647,4.8,driver_late
T000648,4.7,traffic
T000649,4.1,traffic
T000650,0.2,
T000651,4.1,traffic
T000652,5.4,traffic
T000653,0.0,
T000654,5.8,traffic
T000655,5.3,driver_late
T000656,0.3,
T000657,3.2,vehicle_issue
T000658,7.7,unknown
T000659,1.1,
T000660,1.0,
T000661,0.7,
T000662,0.9,
T000663,5.1,driver_late
T000664,2.0,
T000665,6.4,traffic
T000666,0.6,
T000667,11.0,driver_late
T000668,0.5,
T000669,0.4,
T000670,13.9,driver_late
T000671,2.6,driver_late
T000672,0.8,
T000673,1.5,
T000674,2.1,driver_late
T000675,11.4,traffic
T000676,2.3,traffic
T000677,4.0,driver_late
T000678,1.7,
T000679,3.4,driver_late
T000680,7.0,vehicle_issue
T000681,1.8,
T000682,10.2,traffic
T000683,9.2,traffic
T000684,10.8,route_change
T000685,1.8,
T000686,1.5,
T000687,8.5,traffic
T000688,3.1,traffic
T000689,0.8,
T000690,4.6,traffic
T000691,3.1,route_change
T000692,0.5,
T000693,31.1,traffic
T000694,8.5,vehicle_issue
T000695,2.0,
T000696,8.2,traffic
T000697,4.6,traffic
T000698,2.8,route_change
T000699,24.3,route_change
T000700,1.2,
T000701,5.2,route_change
T000702,3.9,unknown
T000703,17.0,driver_late
T000704,0.1,
T000705,2.2,driver_late
T000706,11.0,route_change
T000707,1.9,
T000708,1.4,
T000709,0.3,
T000710,2.7,driver_late
T000711,1.5,
T000712,1.1,
T000713,2.0,
T000714,1.3,
T000715,1.0,
T000716,1.3,
T000717,9.1,traffic
T000718,9.0,traffic
T000719,5.6,route_change
T000720,0.7,
T000721,5.4,traffic
T000722,1.7,
T000723,13.6,traffic
T000724,14.1,traffic
T000725,4.0,driver_late
T000726,0.1,
T000727,2.7,vehicle_issue
T000728,0.8,
T000729,3.9,driver_late
T000730,9.5,traffic
T000731,0.0,
T000732,2.2,traffic
T000733,17.7,traffic
T000734,2.8,unknown
T000735,1.8,
T000736,3.4,unknown
T000737,3.0,route_change
T000738,6.0,traffic
T000739,5.0,vehicle_issue
T000740,12.1,driver_late
T000741,5.3,unknown
T000742,0.7,
T000743,9.9,traffic
T000744,11.9,vehicle_issue
T000745,9.7,unknown
T000746,6.7,driver_late
T000747,20.7,route_change
T000748,12.4,driver_late
T000749,3.6,unknown
T000750,0.1,
T000751,2.5,traffic
T000752,1.1,
T000753,2.9,traffic
T000754,13.4,traffic
T000755,0.1,
T000756,6.6,vehicle_issue
T000757,0.9,
T000758,2.8,route_change
T000759,3.1,route_change
T000760,0.2,
T000761,3.7,driver_late
T000762,9.4,driver_late
T000763,11.1,unknown
T000764,1.1,
T000765,2.6,vehicle_issue
T000766,3.8,driver_late
T000767,6.1,driver_late
T000768,2.8,traffic
T000769,4.3,driver_late
T000770,3.2,vehicle_issue
T000771,28.9,traffic
T000772,0.7,
T000773,3.8,traffic
T000774,6.7,unknown
T000775,3.5,traffic
T000776,0.5,
T000777,2.0,
T000778,2.4,vehicle_issue
T000779,4.3,unknown
T000780,1.5,
T000781,4.8,traffic
T000782,6.2,driver_late
T000783,1.1,
T000784,0.8,
T000785,5.6,driver_late
T000786,7.8,traffic
T000787,11.7,driver_late
T000788,13.4,route_change
T000789,1.8,
T000790,7.1,traffic
T000791,2.3,vehicle_issue
T000792,6.0,traffic
T000793,4.3,traffic
T000794,4.6,unknown
T000795,24.4,unknown
T000796,2.9,driver_late
T000797,0.5,
T000798,2.3,traffic
T000799,8.8,traffic
T000800,6.1,driver_late
T000801,8.6,traffic
T000802,27.8,unknown
T000803,14.7,traffic
T000804,0.5,
T000805,0.9,
T000806,0.4,
T000807,0.1,
T000808,6.1,traffic
T000809,2.6,unknown
T000810,23.2,traffic
T000811,25.9,vehicle_issue
T000812,10.3,traffic
T000813,5.8,traffic
T000814,3.4,traffic
T000815,2.9,traffic
T000816,1.4,
T000817,5.2,driver_late
T000818,21.3,unknown
T000819,2.1,traffic
T000820,1.8,
T000821,1.7,
T000822,1.2,
T000823,4.3,traffic
T000824,24.9,traffic
T000825,2.4,traffic
T000826,0.5,
T000827,7.7,driver_late
T000828,2.2,traffic
T000829,2.8,route_change
T000830,8.2,traffic
T000831,6.7,traffic
T000832,1.2,
T000833,4.5,vehicle_issue
T000834,5.0,traffic
T000835,5.9,vehicle_issue
T000836,2.7,driver_late
T000837,10.3,driver_late
T000838,6.6,traffic
T000839,13.6,driver_late
T000840,1.3,
T000841,4.6,vehicle_issue
T000842,5.9,vehicle_issue
T000843,3.6,vehicle_issue
T000844,0.8,
T000845,3.2,vehicle_issue
T000846,3.0,traffic
T000847,2.5,route_change
T000848,1.9,
T000849,0.6,
T000850,1.6,
T000851,3.6,traffic
T000852,14.8,route_change
T000853,2.1,driver_late
T000854,3.2,traffic
T000855,2.9,unknown
T000856,5.0,traffic
T000857,6.0,route_change
T000858,5.0,vehicle_issue
T000859,6.1,traffic
T000860,6.7,driver_late
T000861,4.9,traffic
T000862,0.8,
T000863,6.0,traffic
T000864,1.8,
T000865,2.6,vehicle_issue
T000866,2.7,driver_late
T000867,1.1,
T000868,0.2,
T000869,2.6,traffic
T000870,8.1,traffic
T000871,1.4,
T000872,0.6,
T000873,11.5,vehicle_issue
T000874,0.1,
T000875,0.6,
T000876,15.2,driver_late
T000877,3.6,traffic
T000878,4.3,traffic
T000879,1.7,
T000880,13.5,unknown
T000881,0.3,
T000882,7.1,traffic
T000883,4.9,vehicle_issue
T000884,21.5,route_change
T000885,7.3,vehicle_issue
T000886,1.1,
T000887,4.6,driver_late
T000888,2.9,traffic
T000889,14.9,driver_late
T000890,4.9,driver_late
T000891,0.4,
T000892,4.2,vehicle_issue
T000893,4.1,unknown
T000894,2.1,vehicle_issue
T000895,1.3,
T000896,1.1,
T000897,4.7,traffic
T000898,7.2,route_change
T000899,1.4,
T000900,2.2,unknown
T000901,3.0,traffic
T000902,30.1,traffic
T000903,11.9,driver_late
T000904,2.8,traffic
T000905,3.9,traffic
T000906,18.2,unknown
T000907,2.4,driver_late
T000908,7.3,driver_late
T000909,0.2,
T000910,10.5,traffic
T000911,8.0,driver_late
T000912,0.5,
T000913,4.8,traffic
T000914,12.2,traffic
T000915,5.4,traffic
T000916,6.4,traffic
T000917,0.1,
T000918,15.3,vehicle_issue
T000919,0.6,
T000920,2.9,vehicle_issue
T000921,4.1,traffic
T000922,6.0,driver_late
T000923,0.4,
T000924,2.4,driver_late
T000925,19.0,route_change
T000926,7.6,traffic
T000927,1.5,
T000928,11.8,driver_late
T000929,0.5,
T000930,3.1,route_change
T000931,1.5,
T000932,1.0,
T000933,5.9,unknown
T000934,3.6,vehicle_issue
T000935,3.6,traffic
T000936,6.9,traffic
T000937,15.4,unknown
T000938,14.9,traffic
T000939,5.8,traffic
T000940,0.1,
T000941,4.5,route_change
T000942,8.6,traffic
T000943,0.2,
T000944,2.8,driver_late
T000945,2.3,traffic
T000946,6.9,traffic
T000947,8.6,vehicle_issue
T000948,7.5,traffic
T000949,0.3,
T000950,0.2,
T000951,5.0,driver_late
T000952,9.5,traffic
T000953,2.9,vehicle_issue
T000954,0.5,
T000955,1.0,
T000956,4.0,vehicle_issue
T000957,0.7,
T000958,1.0,
T000959,4.4,traffic
T000960,3.3,route_change
T000961,3.7,unknown
T000962,3.6,vehicle_issue
T000963,13.7,driver_late
T000964,7.7,vehicle_issue
T000965,0.7,
T000966,10.9,traffic
T000967,5.2,route_change
T000968,0.9,
T000969,3.1,traffic
T000970,0.9,
T000971,0.7,
T000972,3.0,traffic
T000973,9.3,traffic
T000974,2.9,traffic
T000975,15.4,traffic
T000976,1.7,
T000977,5.3,driver_late
T000978,2.4,driver_late
T000979,0.0,
T000980,1.5,
T000981,0.5,
T000982,1.2,
T000983,4.1,traffic
T000984,1.1,
T000985,10.6,traffic
T000986,5.4,traffic
T000987,17.2,unknown
T000988,1.2,
T000989,8.5,vehicle_issue
T000990,1.9,
T000991,16.4,traffic
T000992,2.6,vehicle_issue
T000993,2.3,vehicle_issue
T000994,2.5,traffic
T000995,13.1,route_change
T000996,2.7,traffic
T000997,7.4,driver_late
T000998,4.9,traffic
T000999,24.7,traffic
T001000,1.3,
T001001,0.2,
T001002,4.5,traffic
T001003,1.0,
T001004,0.1,
T001005,1.5,
T001006,3.7,traffic
T001007,0.4,
T001008,2.2,traffic
T001009,4.2,traffic
T001010,3.4,unknown
T001011,3.2,unknown
T001012,1.7,
T001013,15.8,driver_late
T001014,9.8,driver_late
T001015,11.4,driver_late
T001016,0.7,
T001017,4.0,route_change
T001018,2.2,unknown
T001019,5.5,driver_late
T001020,23.5,traffic
T001021,11.7,route_change
T001022,13.6,traffic
T001023,1.9,
T001024,0.4,
T001025,2.1,driver_late
T001026,4.4,unknown
T001027,3.8,vehicle_issue
T001028,12.9,driver_late
T001029,3.4,traffic
T001030,6.1,vehicle_issue
T001031,4.8,traffic
T001032,8.6,driver_late
T001033,0.5,
T001034,15.2,traffic
T001035,0.8,
T001036,3.1,traffic
T001037,1.9,
T001038,0.4,
T001039,2.1,traffic
T001040,9.9,vehicle_issue
T001041,0.4,
T001042,0.2,
T001043,3.9,unknown
T001044,5.3,traffic
T001045,1.5,
T001046,9.7,driver_late
T001047,1.4,
T001048,1.0,
T001049,6.2,vehicle_issue
T001050,1.3,
T001051,0.5,
T001052,1.0,
T001053,3.8,traffic
T001054,4.4,traffic
T001055,1.2,
T001056,8.8,driver_late
T001057,0.7,
T001058,6.6,driver_late
T001059,2.8,vehicle_issue
T001060,3.3,driver_late
T001061,3.7,traffic
T001062,3.1,traffic
T001063,5.0,traffic
T001064,12.3,traffic
T001065,5.1,vehicle_issue
T001066,4.6,vehicle_issue
T001067,0.0,
T001068,2.0,
T001069,4.5,driver_late
T001070,0.8,
T001071,0.3,
T001072,0.6,
T001073,7.9,vehicle_issue
T001074,0.2,
T001075,0.1,
T001076,1.4,
T001077,15.2,traffic
T001078,3.9,route_change
T001079,17.1,driver_late
T001080,10.8,traffic
T001081,1.9,
T001082,4.8,traffic
T001083,5.2,traffic
T001084,1.3,
T001085,4.5,driver_late
T001086,3.8,traffic
T001087,3.1,driver_late
T001088,4.2,route_change
T001089,13.5,traffic
T001090,0.1,
T001091,13.7,traffic
T001092,1.1,
T001093,0.2,
T001094,14.3,traffic
T001095,0.8,
T001096,16.1,traffic
T001097,1.0,
T001098,8.7,driver_late
T001099,2.3,traffic
T001100,2.3,traffic
T001101,13.9,traffic
T001102,7.0,driver_late
T001103,0.8,
T001104,3.7,driver_late
T001105,0.1,
T001106,1.0,
T001107,4.1,traffic
T001108,2.5,traffic
T001109,2.9,vehicle_issue
T001110,6.8,traffic
T001111,1.3,
T001112,0.7,
T001113,5.6,traffic
T001114,5.8,driver_late
T001115,9.4,vehicle_issue
T001116,0.5,
T001117,3.2,driver_late
T001118,11.8,traffic
T001119,9.8,driver_late
T001120,2.6,traffic
T001121,0.7,
T001122,1.8,
T001123,19.8,driver_late
T001124,25.2,route_change
T001125,0.3,
T001126,6.6,driver_late
T001127,3.5,driver_late
T001128,1.0,
T001129,4.5,route_change
T001130,5.6,driver_late
T001131,7.2,traffic
T001132,12.0,route_change
T001133,9.2,route_change
T001134,1.0,
T001135,5.8,unknown
T001136,8.8,route_change
T001137,0.1,
T001138,9.3,driver_late
T001139,1.5,
T001140,12.0,traffic
T001141,1.8,
T001142,3.3,vehicle_issue
T001143,4.0,traffic
T001144,16.6,driver_late
T001145,13.9,traffic
T001146,22.4,driver_late
T001147,5.2,traffic
T001148,4.3,unknown
T001149,3.7,traffic
T001150,27.8,traffic
T001151,6.8,vehicle_issue
T001152,0.7,
T001153,5.1,vehicle_issue
T001154,6.9,driver_late
T001155,15.9,driver_late
T001156,2.9,vehicle_issue
T001157,3.3,traffic
T001158,7.4,driver_late
T001159,1.8,
T001160,6.7,driver_late
T001161,16.0,vehicle_issue
T001162,14.5,route_change
T001163,4.2,traffic
T001164,20.1,route_change
T001165,34.4,traffic
T001166,0.3,
T001167,4.7,vehicle_issue
T001168,0.6,
T001169,0.6,
T001170,0.1,
T001171,7.5,unknown
T001172,0.3,
T001173,5.0,unknown
T001174,1.9,
T001175,3.0,driver_late
T001176,16.6,route_change
T001177,1.1,
T001178,9.6,unknown
T001179,5.6,driver_late
T001180,2.4,traffic
T001181,1.2,
T001182,6.8,traffic
T001183,3.7,driver_late
T001184,12.3,traffic
T001185,0.4,
T001186,1.7,
T001187,6.0,traffic
T001188,5.2,traffic
T001189,3.1,vehicle_issue
T001190,4.9,traffic
T001191,3.4,driver_late
T001192,3.4,driver_late
T001193,9.2,vehicle_issue
T001194,6.3,traffic
T001195,3.8,driver_late
